pk,desa,direccion,ubicacion,localidad,cod_postal,isla,x,y,vigencia_inicio,vigencia_fin
450,DESA00596,CALLE CRUZ HERRERA 16,RESIDENCIA DE MAYORES PUNTALLANA: Entrada,Puntallana,38714,LA PALMA,231203,3.18369e+006,20170908000000,
451,DESA00597,CALLE JOSE LOPEZ 20,COLEGIO SANTO DOMINGO DE GUZMÁN: 1  Planta,Santa Cruz de la Palma,38700,LA PALMA,229690,3.1764e+006,20170908000000,
452,DESA00598,CALLE JOSE LOPEZ 20,COLEGIO SANTO DOMINGO DE GUZMÁN: 3  Planta,Santa Cruz de la Palma,38700,LA PALMA,229701,3.1764e+006,20170908000000,
453,DESA00599,CALLE JOSE LOPEZ 20,COLEGIO SANTO DOMINGO DE GUZMÁN: Canchas,Santa Cruz de la Palma,38700,LA PALMA,229647,3.17636e+006,20170908000000,
454,DESA00600,CTRA CHARCO VERDE 255,HOTEL SOL MELIA LA PALMA: Recepción,Llanos de Aridane (Los),38769,LA PALMA,215467,3.16517e+006,20170908000000,
455,DESA00601,AVDA ISLAS CANARIAS 134,GOLF DEL SUR: Patio entrada izquierda en Casa Club,San Miguel,38639,TENERIFE,341779,3.10196e+006,20170908000000,
456,DESA00602,CMNO LLANOS (DE LOS) S/N,VERSUS POINT PAINTBALL: Recepción Edf. Principal,Guimar,38500,TENERIFE,363472,3.1313e+006,20170908000000,
457,DESA00603,CALLE HERMANO PEDRO DE BETHENCOURT 15,ESCUELA OFICIAL DE IDIOMAS DE LOS CRISTIANOS: Entrada a la izquierda,Arona,38650,TENERIFE,332154,3.10446e+006,20170908000000,
458,DESA00604,AVDA MARITIMA 7,APARTAMENTOS CHARCO DEL CONDE: Entrada a recepción,Valle Gran Rey,38870,LA GOMERA,270242,3.10899e+006,20170908000000,
459,DESA00605,AVDA ITALIA (DE) 21,HL SUITE HOTEL PLAYA DEL INGLES : Recepción,San Bartolome de Tirajana,35100,GRAN CANARIA,444103,3.07069e+006,20170908000000,
460,DESA00606,CALLE BARRILLA 7 CASTILLO CALETA DE FUSTE,MPMH CLUB CALETA DORADA: Recepción.,Antigua,35610,FUERTEVENTURA,610884,3.14168e+006,20170908000000,
461,DESA00607,AVDA PEDRO Y GUY VANDAELE S/N,LABRANDA ALEO CLUB: Recepción.,Oliva La,35660,FUERTEVENTURA,611222,3.17808e+006,20170908000000,
462,DESA00608,AVDA TENERIFE (DE) 2 MASPALOMAS,LAMBRADA PLAYA BONITA: Recepción,San Bartolome de Tirajana,35100,GRAN CANARIA,444400,3.07114e+006,20170908000000,
463,DESA00609,AVDA ALCALDE JUAN RAMON SOTO MORALES 15,MPMH APARTHOTEL CALETA GARDEN: Recepción,Antigua,35610,FUERTEVENTURA,611790,3.142e+006,20170908000000,
464,DESA00610,AVDA BRUSELAS (DE) 8,HOTEL LAMBRADA ISLA: Recepción,Adeje,38660,TENERIFE,329632,3.10829e+006,20170908000000,
465,DESA00611,AVDA GRAN CANARIA 2 CORRALEJO,HOTEL LAMBRADA  BAHIA DE LOBOS: Recepción,Oliva La,35660,FUERTEVENTURA,610192,3.17868e+006,20170908000000,
466,DESA00612,CALLE SAN CRISTOBAL DE LA LAGUNA 7 MASPALOMAS,HOTEL LABRANZA  BRONZE PLAYA: Recepción,San Bartolome de Tirajana,35110,GRAN CANARIA,444240,3.0709e+006,20170908000000,
467,DESA00613,CALLE PETREL  3 PLAYA DEL CURA,HOTEL IDYLL SUITES: Recepción,Mogan,35130,GRAN CANARIA,427821,3.07531e+006,20170908000000,
468,DESA00614,CTRA SAN NICOLAS 130,TERRERO DE LUCHA LAS MANCHAS: Entrada,Paso (El),38710,LA PALMA,218301,3.1675e+006,20170908000000,
469,DESA00615,AVDA ISLAS CANARIAS 18,AYUNTAMIENTO DE EL PASO: Entrada,Paso (El),38750,LA PALMA,218458,3.17282e+006,20170908000000,
470,DESA00616,AVDA ISLAS CANARIAS  S/N,CASA DE LA CULTURA : Recepción,Paso (El),38750,LA PALMA,218451,3.17292e+006,20170908000000,
471,DESA00617,PLAYA  CANCAJOS S/N,PLAYA LOS CANCAJOS: Puesto socorrismo 1,Breña Alta,38710,LA PALMA,230289,3.17252e+006,20170908000000,
472,DESA00618,PLAYA CANCAJOS  S/N,PLAYA LOS CANCAJOS: Puesto socorrismo 2,Breña Baja,38710,LA PALMA,230297,3.17253e+006,20170908000000,
473,DESA00619,PLAZA DE LAS MADRES S/N,AYUNTAMIENTO BREÑA BAJA: Entrada principal,Breña Baja,38710,LA PALMA,228296,3.17188e+006,20170908000000,
474,DESA00620,CALLE LEDAS (LAS) 6,CENTRO DE DIA LAS LEDAS: Entrada principal,Breña Baja,38712,LA PALMA,228058,3.1714e+006,20170908000000,
475,DESA00621,PLAZA DE LAS MADRES S/N,COMISARIA POLICIA LOCAL: Entrada,Breña Baja,38712,LA PALMA,228710,3.17188e+006,20170908000000,
476,DESA00622,CALLE EL MADROÑO  S/N,CAMPO DE FUTBOL: Entrada principal,Breña Baja,38712,LA PALMA,228627,3.17157e+006,20170908000000,
477,DESA00623,CMNO JOVER 1,CLUB NAUTICO DE JOVER: Recepción entrada derecha,Laguna (La),38260,TENERIFE,365816,3.15851e+006,20170908000000,
478,DESA00624,AVDA ALCALDE JOSE RAMIREZ BETHENCOURT 17,SODECAN GRAN CANARIA: Entrada Espacio Palett Express,Palmas de Gran Canaria (Las),35004,GRAN CANARIA,458726,3.11025e+006,20170908000000,
479,DESA00625,CALLE FLOR DE PASCUA 8,HOTEL STIL LOS GIGANTES: Recepción,Santiago del Teide,38683,TENERIFE,319266,3.12561e+006,20170908000000,
480,DESA00626,CALLE FLOR DE PASCUA 8,HOTEL STIL LOS GIGANTES: Entrada,Santiago del Teide,38683,TENERIFE,319286,3.12556e+006,20170908000000,
481,DESA00627,CAMPUS UNIVERSITARIO DE TAFIRA S/N,EDIFICIO DE CIENCIAS DE LA ACTIVIDAD FISICA Y DEL DEPORTE: Pasillo entre administración y Biblioteca,Palmas de Gran Canaria (Las),35017,GRAN CANARIA,455143,3.10494e+006,20170908000000,
482,DESA00628,CAMPUS UNIVERSITARIO DE TAFIRA S/N,EDIFICIO DE CIENCIAS ECONOMICAS Y DEL DEPORTE: Modulo C junto a escalera frente conserjería,Palmas de Gran Canaria (Las),35017,GRAN CANARIA,455839,3.10583e+006,20170908000000,
483,DESA00629,CAMPUS UNIVERSITARIO DE TAFIRA S/N,BIBLIOTECA GENERAL: Vestíbulo mostrador de conserjería,Palmas de Gran Canaria (Las),35017,GRAN CANARIA,455643,3.10565e+006,20170908000000,
484,DESA00630,CAMPUS UNIVERSITARIO DE TAFIRA S/N,EDIFICIO DE CIENCIAS BASICAS: Modulo Aulario. Pasillo Aulario y Química,Palmas de Gran Canaria (Las),35017,GRAN CANARIA,455570,3.10544e+006,20170908000000,
485,DESA00631,CAMPUS UNIVERSITARIO DE TAFIRA S/N,EDIFICIO ARQUITECTURA: Vestíbulo junto puerta conserjería,Palmas de Gran Canaria (Las),35017,GRAN CANARIA,455380,3.10533e+006,20170908000000,
486,DESA00632,CAMPUS UNIVERSITARIO DE TAFIRA S/N,EDIFICIO CIENCIAS JURÍDICAS: Modulo A pasillo hacia puerta emergencia,Palmas de Gran Canaria (Las),35017,GRAN CANARIA,455877,3.10606e+006,20170908000000,
487,DESA00633,CAMPUS UNIVERSITARIO DE TAFIRA S/N,EDIFICIO ELECTRONICA Y TELECOMUNICACIONES: Pabellón X tras puerta salida conserjería,Palmas de Gran Canaria (Las),35017,GRAN CANARIA,455411,3.10518e+006,20170908000000,
488,DESA00634,CAMPUS UNIVERSITARIO DE TAFIRA S/N,PARQUE CIENTIFICO TECNOLOGICO: Polivalente II III. Pared trasera recepción,Palmas de Gran Canaria (Las),35017,GRAN CANARIA,455624,3.10612e+006,20170908000000,
489,DESA00635,CAMPUS UNIVERSITARIO DE TAFIRA S/N,PABELLÓN DEPORTIVO: Al lado del mostrador de recepción,Palmas de Gran Canaria (Las),35017,GRAN CANARIA,455167,3.10488e+006,20170908000000,
490,DESA00636,CAMPUS UNIVERSITARIO DE TAFIRA S/N,RESIDENCIA UNIVERSITARIA: Residencia Tafira II en la recepción,Palmas de Gran Canaria (Las),35017,GRAN CANARIA,455544,3.10604e+006,20170908000000,
491,DESA00637,CAMPUS UNIVERSITARIO DE TAFIRA S/N,EDIFICIO INGENIERIAS: Modulo A  tras puerta salida conserjería,Palmas de Gran Canaria (Las),35017,GRAN CANARIA,455222,3.105e+006,20170908000000,
492,DESA00638,CALLE JUAN DE QUESADA 30,SEDE INSTITUCIONAL: Sede pared tras mesa vigilante,Palmas de Gran Canaria (Las),35001,GRAN CANARIA,458747,3.10826e+006,20170908000000,
493,DESA00639,CALLE JUAN QUESADA 30,EDIFICIO SERVICIOS ADMINISTRATIVOS: Modulo D. Junto a fotocopiadora conserjería,Palmas de Gran Canaria (Las),35001,GRAN CANARIA,458641,3.10818e+006,20170908000000,
